"주문번호 : 001-A146155006"
"다운로드일 : 2019-09-05 오후 12:26:34"
순번,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,분야,주문일자,주문수량,준비수량(출고/할당수량)
"1","eBook","Real Talking(리얼토킹)","E322438962","9788901204130","15740","NEWRUN(뉴런)","Ellie Oh& Anna Yang & Tasia Kim 지음, 이다 그림","8,400","8,400","0","0%","420점","20150603","eBook>외국어>영어회화>생활영어","20180716","1","1"
"2","eBook","[고화질] 오늘 뭐 먹지? 08 역시 고기가 진리","E012433014","9791127416867","","AK 커뮤니케이션즈","타다 리에코 외 17명","4,000","4,000","0","0%","200점","20180625","eBook>만화>인간 드라마>요리만화","20180716","1","1"
"3","eBook","그 겨울의 일주일","E895464989","9788954649971","5840","문학동네","메이브 빈치 지음, 정연희 옮김","10,400","10,400","0","0%","520점","20180312","eBook>소설/시/희곡>세계의 문학>아일랜드문학","20180716","1","1"
"4","eBook","두이노 비가","EK70253556","9791196014926","","읻다","라이너 마리아 릴케 지음, 최성웅 옮김","7,000","7,000","0","0%","350점","20160324","eBook>고전>서양고전문학>서양근대문학","20180716","1","1"
"5","eBook","러닝 자바스크립트 : ES6로 제대로 입문하는 모던 자바스크립트 웹 개발","E896848338","9788968488559","","한빛미디어","이선 브라운 지음, 한선용 옮김","19,600","19,600","0","0%","980점","20170701","eBook>컴퓨터/모바일>웹디자인/홈페이지>HTML/JavaScript","20180716","1","1"
"6","eBook","레 미제라블 1 (한글)","E492435325","9791155516935","14740","더클래식","빅토르 위고 지음, 베스트트랜스 옮김","1,490","990","500","34%","50점","20121210","eBook>고전>서양고전문학>서양근대문학","20180716","1","1"
"7","eBook","레 미제라블 2 (한글)","E402435325","9791155516942","14740","더클래식","빅토르 위고 지음, 베스트트랜스 옮김","1,490","990","500","34%","50점","20121210","eBook>고전>서양고전문학>서양근대문학","20180716","1","1"
"8","eBook","레 미제라블 3 (한글)","E552435325","9791155516959","14740","더클래식","빅토르 위고 지음, 베스트트랜스 옮김","1,490","990","500","34%","50점","20121210","eBook>고전>서양고전문학>서양근대문학","20180716","1","1"
"9","eBook","레 미제라블 4 (한글)","E562435325","9791155516966","14740","더클래식","빅토르 위고 지음, 베스트트랜스 옮김","1,490","1,100","390","26%","60점","20121210","eBook>고전>서양고전문학>서양근대문학","20180716","1","1"
"10","eBook","레 미제라블 5 (한글)","E582435325","9791155516973","14740","더클래식","빅토르 위고 지음, 베스트트랜스 옮김","1,490","990","500","34%","50점","20121210","eBook>고전>서양고전문학>서양근대문학","20180716","1","1"
"11","eBook","리액트 교과서","EK05253264","9791160504996","","길벗","아자트 마르단 지음, 곽현철 옮김","28,800","28,800","0","0%","1,440점","20180621","eBook>컴퓨터/모바일>웹디자인/홈페이지>HTML/JavaScript","20180716","1","1"
"12","eBook","만약 헤밍웨이가 자바스크립트로 코딩한다면","E896848474","9788968483080","93000","한빛미디어","앵거스 크롤 지음, 김나솔 옮김","13,300","13,300","0","0%","670점","20170529","eBook>컴퓨터/모바일>컴퓨터 공학>자료구조/알고리즘","20180716","1","1"
"13","eBook","별자리 이야기","E895222897","9788952229601","5080","살림","이형철 외 지음","2,500","2,500","0","0%","130점","20141010","eBook>가격대별 eBook>2500원 eBook","20180716","1","1"
"14","eBook","소피의 세계","E893231766","9788932318561","03160","현암사","요슈타인 가아더 지음, 장영은 옮김","18,900","18,900","0","0%","950점","20170619","eBook>청소년>청소년 철학","20180716","1","1"
"15","eBook","아무튼, 외국어","EK15253224","9791160891072","02810","위고","조지영 지음","7,700","7,700","0","0%","390점","20180530","eBook>에세이>한국에세이","20180716","1","1"
"16","eBook","유럽왕실의 탄생 - 살림지식총서 086","E895220222","9788952244543","","살림","김현수 지음","2,500","2,500","0","0%","130점","20111118","eBook>가격대별 eBook","20180716","1","1"
"17","eBook","절대왕정의 탄생","E895220225","9788952244567","04080","살림","임승휘 지음","1,900","1,900","0","0%","100점","20111118","eBook>가격대별 eBook","20180716","1","1"
"18","eBook","중세의 사람들","E899210959","9791155360989","3920","즐거운상상","아일린 파워 지음, 이종인 옮김","10,500","10,500","0","0%","530점","20140414","eBook>역사>서양사>서양중세사","20180716","1","1"
"19","eBook","프랑스 대혁명 1","E893748788","9788937487903","","민음사","막스 갈로 지음, 박상준 옮김","12,600","12,600","0","0%","630점","20140110","eBook>역사>테마로 보는 역사>혁명사","20180716","1","1"
"20","eBook","프랑스 혁명에서 파리 코뮌까지, 1789~1871","E899122183","9788997735822","","책과함께","노명식 지음","12,000","12,000","0","0%","600점","20130702","eBook>역사>테마로 보는 역사>혁명사","20180716","1","1"
합계,,,,,,,,"167,550","165,160","2,390",,,,,,
